"subgroup_type","subgroup_value","pop_count","tot_cvd","tot_an","rate_an","rate_cvd","pct"
"age","(64,74]",173645,5361.15320634755,65.3244092324283,37.6195163882797,3087.42158216335,1.21847682239494
"age","(74,84]",79564,5089.23843912647,62.197394146299,78.1727843576228,6396.40847509736,1.22213558846291
"age","(84,110]",27820,2920.01913859401,35.831041440485,128.795979297214,10496.1148044357,1.22708241760832
"race","Asian",9530,217.382145070945,2.72959138765151,28.642092210404,2281.02985383993,1.25566494284094
"race","Black",52336,3282.12034957321,40.8468485551083,78.0473260377337,6271.24799291733,1.24452622709036
"race","Hispanic",9563,330.436760192799,4.17445749912032,43.6521750404718,3455.3671462177,1.26331510352682
"race","Other",5215,173.435541027002,2.12227506346675,40.6955908622579,3325.70548469803,1.22366791195141
"race","White",204385,9367.03598820406,113.479672313865,55.52250522977,4583.03495276271,1.2114789828583
"sex","Female",158882,7157.91081150822,87.7803530126674,55.248771423237,4505.17416164715,1.2263404130649
"sex","Male",122147,6212.4999725598,75.5724918065449,61.8701169955422,5086.08477699804,1.21645862600151
